"","melody","index","beat_pos","duration","scale_deg","approaching","key","depart","ArrNum","DepNum","onOffBeat","ArrSkiSteLeap","DepSkiSteLeap","Prediction","Response"
"280","8gg#)",462,"3.5",0.5,"5","+M2","c#","-M3",2,-4,"offbeat","step","leap",0.659076951088574,1
"281","(8.eeL",465,"1",0.75,"3","-M3","c#","+M3",-4,4,"onbeat","leap","leap",0.995684436023356,1
"282","16gg#Jk",466,"1.75",0.25,"5","+M3","c#","-P5",4,-7,"offbeat","leap","leap",0.973211439846859,1
"283","4cc#",467,"2",1,"1","-P5","c#","+m3",-7,3,"onbeat","leap","leap",0.994970376691384,1
"284","4ee",469,"3",1,"3","+m3","c#","+M3",3,4,"onbeat","leap","leap",0.994970376691384,1
"285","8.gg#L)",473,"1",0.75,"5","+M3","c#","+m2",4,1,"onbeat","leap","step",0.922206820363562,1
"286","(16aaJk",474,"1.75",0.25,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"287","4ff#",476,"2",1,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"288","4gg#^)",477,"3",1,"5","+M2","c#","-M3",2,-4,"onbeat","step","leap",0.978658599750936,1
"289","(12eeL",481,"1",0.333333,"3","-M3","c#","+M2",-4,2,"onbeat","leap","step",0.86189411399341,1
"290","12ff#",482,"1.33333",0.333333,"4","+M2","c#","+M2",2,2,"offbeat","step","step",0.421612351868164,0
"291","12gg#J)",483,"1.66667",0.333333,"5","+M2","c#","-P5",2,-7,"offbeat","step","leap",0.681731395556915,1
"293","4.cc#)",486,"2",1.5,"1","-P5","c#","A1",-7,1,"onbeat","leap","step",0.974108350721566,1
"295","(8cc##",488,"3.5",0.5,"1+","A1","c#","+m2",1,1,"offbeat","step","step",0.485125363073619,1
"296","8dd#''L)",491,"1",0.5,"2","+m2","c#","+m2",1,1,"onbeat","step","step",0.651563710525005,1
"298","(16eeJk",493,"1.75",0.25,"3","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"299","4.cc#X",496,"2",1.5,"1","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.974108350721566,1
"301","8dd#",498,"3.5",0.5,"2","+M2","c#","-m3",2,-3,"offbeat","step","leap",0.659076951088574,1
"302","8.b#L",501,"1",0.75,"7","-m3","c#","+m3",-3,3,"onbeat","leap","leap",0.995684436023356,1
"303","16dd#Jk",502,"1.75",0.25,"2","+m3","c#","-P5",3,-7,"offbeat","leap","leap",0.973211439846859,1
"304","4g#)",503,"2",1,"5","-P5","c#","+m2",-7,1,"onbeat","leap","step",0.945714206375741,1
"305","(4an^T",505,"3",1,"6","+m2","c#","-m2",1,-1,"onbeat","step","step",0.80152356213528,1
"307","8g#L)",509,"1",0.5,"5","-m2","c#","-M2",-1,-2,"onbeat","step","step",0.651563710525005,1
"309","(16f#Jk",511,"1.75",0.25,"4","-M2","c#","-m3",-2,-3,"offbeat","step","leap",0.692752247568506,1
"310","4d#)",513,"2",1,"2","-m3","c#","+P4",-3,5,"onbeat","leap","leap",0.994970376691384,1
"311","4g#^",514,"3",1,"5","+P4","c#","-P5",5,-7,"onbeat","leap","leap",0.994970376691384,1
"313","2c#^)",518,"1",2,"1","-P5","c#","+P5",-7,7,"onbeat","leap","leap",0.990733409062025,1
"315","(>4g#",521,"3",1,"5","+P5","c#","+P8",7,12,"onbeat","leap","leap",0.994970376691384,1
"316","8gg#'L",525,"1",0.5,"5","+P8","c#","+m2",12,1,"onbeat","leap","step",0.889707188612599,1
"317","8aa'J",526,"1.5",0.5,"6","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.659076951088574,1
"318","4ff#'",527,"2",1,"4","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"319","4gg#'",529,"3",1,"5","+M2","c#","-M3",2,-4,"onbeat","step","leap",0.978658599750936,1
"320","8ee'L",533,"1",0.5,"3","-M3","c#","+M3",-4,4,"onbeat","leap","leap",0.996297497065711,1
"321","8gg#'J",534,"1.5",0.5,"5","+M3","c#","-P5",4,-7,"offbeat","leap","leap",0.968895128803985,1
"322","4cc#'",535,"2",1,"1","-P5","c#","+m3",-7,3,"onbeat","leap","leap",0.994970376691384,1
"323","4ee')",537,"3",1,"3","+m3","c#","+M3",3,4,"onbeat","leap","leap",0.994970376691384,1
"324","(12gg#L",541,"1",0.333333,"5","+M3","c#","+m2",4,1,"onbeat","leap","step",0.86189411399341,1
"326","12aa)",543,"1.33333",0.333333,"6","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"328","24gg#Jk)",545,"1.83333",0.166667,"5","-m2","c#","-P4",-1,-5,"offbeat","step","leap",0.703557419692487,1
"329","4dd#",546,"2",1,"2","-P4","c#","+P4",-5,5,"onbeat","leap","leap",0.994970376691384,1
"330","4gg#^",548,"3",1,"5","+P4","c#","-M3",5,-4,"onbeat","leap","leap",0.994970376691384,1
"332","(12eeL)",553,"1",0.333333,"3","-M3","c#","+M2",-4,2,"onbeat","leap","step",0.86189411399341,1
"333","12ff#",554,"1.33333",0.333333,"4","+M2","c#","+M2",2,2,"offbeat","step","step",0.421612351868164,0
"334","12gg#J)",555,"1.66667",0.333333,"5","+M2","c#","-P5",2,-7,"offbeat","step","leap",0.681731395556915,1
"336","4.cc#)",557,"2",1.5,"1","-P5","c#","A1",-7,1,"onbeat","leap","step",0.974108350721566,1
"338","8cc##",560,"3.5",0.5,"1+","A1","c#","+m2",1,1,"offbeat","step","step",0.485125363073619,1
"339","(8dd#'L",563,"1",0.5,"2","+m2","c#","+m2",1,1,"onbeat","step","step",0.651563710525005,1
"341","16ee'Jk",565,"1.75",0.25,"3","+m2","c#","-m3",1,-3,"offbeat","step","leap",0.692752247568506,1
"342","4cc#X'",567,"2",1,"1","-m3","c#","+M2",-3,2,"onbeat","leap","step",0.945714206375741,1
"343","4dd#'",569,"3",1,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.978658599750936,1
"344","8b#'L",572,"1",0.5,"7","-m3","c#","+m3",-3,3,"onbeat","leap","leap",0.996297497065711,1
"346","16dd#'Jk",574,"1.75",0.25,"2","+m3","c#","-P5",3,-7,"offbeat","leap","leap",0.973211439846859,1
"347","4g#)",576,"2",1,"5","-P5","c#","+m2",-7,1,"onbeat","leap","step",0.945714206375741,1
"348","(4an^T",578,"3",1,"6","+m2","c#","-m2",1,-1,"onbeat","step","step",0.80152356213528,1
"350","8g#L)",582,"1",0.5,"5","-m2","c#","-M2",-1,-2,"onbeat","step","step",0.651563710525005,1
"352","(16f#Jk",584,"1.75",0.25,"4","-M2","c#","-m3",-2,-3,"offbeat","step","leap",0.692752247568506,1
"353","4d#)",585,"2",1,"2","-m3","c#","+P4",-3,5,"onbeat","leap","leap",0.994970376691384,1
"354","4g#^",587,"3",1,"5","+P4","c#","-P5",5,-7,"onbeat","leap","leap",0.994970376691384,1
"356","2.c#^;)",591,"1",3,"1","-P5","c#","[cc]",-7,0,"onbeat","leap","unison",0.99965977211991,1
