"","function","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"312","4.D","V","16b","1.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"313","4.D","V","16cc#JJ)","1.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"314","4.D","V","8b'L","2","0.5","2","-M2","A","cat_themes.krn","0","0","[e]",NA,NA
"315","8T","I","8e'J","2.5","0.5","5","[e]","A","cat_themes.krn","0","0","+P4",NA,NA
"316","2T","I","8a'L","1","0.5","1","+P4","A","cat_themes.krn","0","0","+M2",NA,NA
"317","2T","I","8b'J","1.5","0.5","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"318","2T","I","8cc#'L","2","0.5","3","+M2","A","cat_themes.krn","0","0","+m2",NA,NA
"319","2T","I","8dd'J","2.5","0.5","4","+m2","A","cat_themes.krn","0","0","+M2",NA,NA
"320","2T","V7","(8.eeL","1","0.75","5","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"322","2T","V7","16ff#Jk)","1.75","0.25","6","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"323","2T","V7","8ee'L","2","0.5","5","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"324","2T","V7","8dd'J","2.5","0.5","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"325","2T","I","8cc#'L","1","0.5","3","-m2","A","cat_themes.krn","0","0","-M2",NA,NA
"326","2T","I","8b'J","1.5","0.5","2","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"327","2T","I","8cc#'L","2","0.5","3","+M2","A","cat_themes.krn","0","0","+m2",NA,NA
"328","2T","I","8dd'J","2.5","0.5","4","+m2","A","cat_themes.krn","0","0","+M2",NA,NA
"329","2T","V7","(8.eeL","1","0.75","5","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"331","2T","V7","16ff#Jk)","1.75","0.25","6","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"332","2T","V7","8ee'L","2","0.5","5","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"333","2T","V7","8dd'J","2.5","0.5","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"334","4T","I","8cc#'L","1","0.5","3","-m2","A","cat_themes.krn","0","0","P1",NA,NA
"335","4T","I","8cc#'J","1.5","0.5","3","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"337","4D","V","(16bLL","2","0.25","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"338","4D","V","16a","2.25","0.25","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"339","4D","V","16b","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"340","4D","V","16cc#JJ)","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"341","8T","I","8aL","1","0.5","1","-M3","A","cat_themes.krn","0","0","+P8",NA,NA
"342","8P","IV","(16aaL","1.5","0.25","1","+P8","A","cat_themes.krn","0","0","-m3",NA,NA
"343","8P","IV","16ff#JJ","1.75","0.25","6","-m3","A","cat_themes.krn","0","0","P1",NA,NA
"344","8P","I","16ff#LL","2","0.25","6","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"345","8P","I","16ee","2.25","0.25","5","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"346","8P","IV","16ff#","2.5","0.25","6","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"347","8P","IV","16ddJJ)","2.75","0.25","4","-M3","A","cat_themes.krn","0","0","-m2",NA,NA
"348","4D","C","8cc#'L","1","0.5","3","-m2","A","cat_themes.krn","0","0","P1",NA,NA
"349","4D","C","8cc#'J","1.5","0.5","3","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"351","4D","V","(16bLL","2","0.25","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"352","4D","V","16a","2.25","0.25","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"353","4D","V","16b","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"354","4D","V","16cc#JJ)","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"355","8T","I","8aL","1","0.5","1","-M3","A","cat_themes.krn","0","0","+P8",NA,NA
"356","8P","IV","(16aaL","1.5","0.25","1","+P8","A","cat_themes.krn","0","0","-m3",NA,NA
"357","8P","IV","16ff#JJ","1.75","0.25","6","-m3","A","cat_themes.krn","0","0","P1",NA,NA
"358","8P","I","16ff#LL","2","0.25","6","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"359","8P","I","16ee","2.25","0.25","5","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"360","8P","IV","16ff#","2.5","0.25","6","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"361","8P","IV","16ddJJ)","2.75","0.25","4","-M3","A","cat_themes.krn","0","0","-m2",NA,NA
"362","4D","C","8cc#'L","1","0.5","3","-m2","A","cat_themes.krn","0","0","P1",NA,NA
"363","4D","C","8cc#'J","1.5","0.5","3","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"364","4D","V","(16bLL","2","0.25","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"365","4D","V","16a","2.25","0.25","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"366","4D","V","16b","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"367","4D","V","16cc#JJ)","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"368","4.T","I","4a","1","1","1","-M3","A","cat_themes.krn","0","0","[cc#]",NA,NA
"372","2T","I","4cc#","1","1","3","[cc#]","A","cat_themes.krn","0","0","P1",NA,NA
"373","2T","I","4cc#","2","1","3","P1","A","cat_themes.krn","0","0","P1",NA,NA
"375","2T","I","8cc#","1","0.5","3","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"376","2T","I","8b","1.5","0.5","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"377","2T","I","4a","2","1","1","-M2","A","cat_themes.krn","0","0","+P5",NA,NA
"379","2T","I","4ee","1","1","5","+P5","A","cat_themes.krn","0","0","P1",NA,NA
"381","2T","I","4ee","2","1","5","P1","A","cat_themes.krn","0","0","P1",NA,NA
"383","2T","I","8ee","1","0.5","5","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"384","2T","I","8dd","1.5","0.5","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"385","2T","I","4cc#","2","1","3","-m2","A","cat_themes.krn","0","0","P1",NA,NA
"387","4T","V7","8cc#","1","0.5","3","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"388","4T","V7","8bJ","1.5","0.5","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"389","4T","I","4a)","2","1","1","-M2","A","cat_themes.krn","0","0","+M3",NA,NA
"391","4T","V7","8cc#","1","0.5","3","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"392","4T","V7","8bJ","1.5","0.5","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"393","4T","I","4a)","2","1","1","-M2","A","cat_themes.krn","0","0","+P5",NA,NA
"395","4P","C/V","4ee","1","1","5","+P5","A","cat_themes.krn","0","0","-m2",NA,NA
"397","4P","V7/V","(16dd#LL","2","0.25","4+","-m2","A","cat_themes.krn","0","0","+m2",NA,NA
"398","4P","V7/V","16ee","2.25","0.25","5","+m2","A","cat_themes.krn","0","0","+M2",NA,NA
"399","4P","V7/V","16ff#","2.5","0.25","6","+M2","A","cat_themes.krn","0","0","-m3",NA,NA
"400","4P","V7/V","16dd#JJ)","2.75","0.25","4+","-m3","A","cat_themes.krn","0","0","+m2",NA,NA
"401","2D","V","4ee","1","1","5","+m2","A","cat_themes.krn","0","0","[ee]",NA,NA
"405","2D","I","4ee","1","1","5","[ee]","A","cat_themes.krn","1","0","P1",NA,NA
"407","2D","I","4ee","2","1","5","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"409","2D","V7","8dd","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m3",NA,NA
"410","2D","V7","8bJ","1.5","0.5","2","-m3","A","cat_themes.krn","0","0","-m3",NA,NA
"411","2D","V7","4g#","2","1","7","-m3","A","cat_themes.krn","0","0","+m6",NA,NA
"413","2D","I","8ee","1","0.5","5","+m6","A","cat_themes.krn","0","0","P1",NA,NA
"414","2D","I","8ee","1.5","0.5","5","P1","A","cat_themes.krn","0","0","P1",NA,NA
"415","2D","I","8ee","2","0.5","5","P1","A","cat_themes.krn","0","0","P1",NA,NA
"416","2D","I","8ee","2.5","0.5","5","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"417","2D","V7","8dd","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m3",NA,NA
"418","2D","V7","8bJ","1.5","0.5","2","-m3","A","cat_themes.krn","0","0","-m3",NA,NA
"419","2D","V7","4g#","2","1","7","-m3","A","cat_themes.krn","0","0","-m3",NA,NA
"420","2D","V7","4g#","2","0.25","7","-m3","A","cat_themes.krn","0","0","+m2",NA,NA
"421","2T","I","16aLL","1","0.25","1","+m2","A","cat_themes.krn","0","0","+M3",NA,NA
"422","2T","I","16cc#","1.25","0.5","3","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"423","2T","I","16b","1.5","0.5","2","-M2","A","cat_themes.krn","0","0","+m3",NA,NA
"424","2T","I","16ddJJ","1.75","0.25","4","+m3","A","cat_themes.krn","0","0","-m2",NA,NA
"425","2T","I","16cc#LL","2","0.25","3","-m2","A","cat_themes.krn","0","0","+m3",NA,NA
"426","2T","I","16ee","2.25","0.25","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"427","2T","I","16dd","2.5","0.25","4","-M2","A","cat_themes.krn","0","0","+M3",NA,NA
"428","2T","I","16ff#JJ","2.75","0.25","6","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"429","2T","I","(4ee","1","1","5","-M2","A","cat_themes.krn","0","0","+P4",NA,NA
"430","2T","I","8aa)","2","0.5","1","+P4","A","cat_themes.krn","0","1","-m6",NA,NA
"432","4D","C","4cc#","1","1","3","-m6","A","cat_themes.krn","1","0","-M2",NA,NA
"434","4D","V7","(16bLL","2","0.25","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"435","4D","V7","16a","2.25","0.25","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"436","4D","V7","16b","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"437","4D","V7","16cc#JJ)","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"438","2T","I","4a","1","1","1","-M3","A","cat_themes.krn","0","1","-P4",NA,NA
"440","2T","I","8e","2.5","0.5","5","-P4","A","cat_themes.krn","1","0","[ee]",NA,NA
"441","2D","I","4ee","1","1","5","[ee]","A","cat_themes.krn","0","0","P1",NA,NA
"443","2D","I","4ee","2","1","5","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"445","2D","V7","8dd","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m3",NA,NA
"446","2D","V7","8bJ","1.5","0.5","2","-m3","A","cat_themes.krn","0","0","-m3",NA,NA
"447","2D","V7","4g#","2","1","7","-m3","A","cat_themes.krn","0","0","+m6",NA,NA
"449","2D","I","8eeL","1","0.5","5","+m6","A","cat_themes.krn","0","0","P1",NA,NA
"450","2D","I","8eeJ","1.5","0.5","5","P1","A","cat_themes.krn","0","0","P1",NA,NA
"451","2D","I","8eeL","2","0.5","5","P1","A","cat_themes.krn","0","0","P1",NA,NA
"452","2D","I","8eeJ","2.5","0.5","5","P1","A","cat_themes.krn","0","0","-M2",NA,NA
"453","2D","V7","8dd","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m3",NA,NA
"454","2D","V7","8bJ","1.5","0.5","2","-m3","A","cat_themes.krn","0","0","-m3",NA,NA
"455","2D","V7","8g#","2","0.5","7","-m3","A","cat_themes.krn","0","1","+m2",NA,NA
"457","2D","I","16aLL","1","0.25","1","+m2","A","cat_themes.krn","1","0","+M3",NA,NA
"458","2D","I","16cc#","1.25","0.25","3","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"459","2D","I","16b","1.5","0.25","2","-M2","A","cat_themes.krn","0","0","+m3",NA,NA
"460","2D","I","16ddJJ","1.75","0.25","4","+m3","A","cat_themes.krn","0","0","-m2",NA,NA
"461","2D","I","16cc#LL","2","0.25","3","-m2","A","cat_themes.krn","0","0","+m3",NA,NA
"462","2D","I","16ee","2.25","0.25","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"463","2D","I","16dd","2.5","0.25","4","-M2","A","cat_themes.krn","0","0","+M3",NA,NA
"464","2D","I","16ff#JJ","2.75","0.25","6","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"465","2D","I","4ee","1","1","5","-M2","A","cat_themes.krn","0","0","+P4",NA,NA
"467","2D","I","8aa","2","0.5","1","+P4","A","cat_themes.krn","0","1","-m6",NA,NA
"469","4D","C","4cc#","1","1","3","-m6","A","cat_themes.krn","1","0","-M2",NA,NA
"471","4D","V7","(16bLL","2","0.25","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"472","4D","V7","16a","2.25","0.25","1","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"473","4D","V7","16b","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"474","4D","V7","16cc#JJ)","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"475","4.T","I","4a","1","1","1","-M3","A","cat_themes.krn","0","1","[dd]",NA,NA
"477","8T","I","8dd","3.5","0.5","5","[dd]","G","cat_themes.krn","1","0","-m3",NA,NA
"478","4.T","I","4b","1","1","3","-m3","G","cat_themes.krn","0","0","P1",NA,NA
"480","4.T","I","8b","2","0.5","3","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"481","4.T","V7","4a","2.5","1","2","-M2","G","cat_themes.krn","0","0","P1",NA,NA
"483","4.T","V7","8a","3.5","0.5","2","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"484","2.T","I","4g","1","1","1","-M2","G","cat_themes.krn","0","0","P1",NA,NA
"486","2.T","I","8g","2","0.5","1","P1","G","cat_themes.krn","0","1","+P5",NA,NA
"489","2.T","I","8dd","3.5","0.5","5","+P5","G","cat_themes.krn","1","0","P1",NA,NA
"490","4.T","I","4dd","1","1","5","P1","G","cat_themes.krn","0","0","-P5",NA,NA
"492","4.T","I","8g","2","0.5","1","-P5","G","cat_themes.krn","0","0","+M6",NA,NA
"493","4.P","ii","4ee","2.5","1","6","+M6","G","cat_themes.krn","0","0","+M6",NA,NA
"494","4.P","ii","4ee","2.5","2","6","+M6","G","cat_themes.krn","0","0","P1",NA,NA
"495","4.P","ii","8ee","3.5","2","6","P1","G","cat_themes.krn","0","0","-P5",NA,NA
"496","4.D","V","4.a","1","2","2","-P5","G","cat_themes.krn","0","0","[a]",NA,NA
"501","8T","V","8a","3.5","0.5","2","[a]","G","cat_themes.krn","1","0","+M2",NA,NA
"502","4.T","I","4b","1","1","3","+M2","G","cat_themes.krn","0","0","P1",NA,NA
"504","4.T","I","8b","2","0.5","3","P1","G","cat_themes.krn","0","0","+m2",NA,NA
"506","4.T","V7","8ccL","2.5","0.5","4","+m2","G","cat_themes.krn","0","0","-m2",NA,NA
"507","4.T","V7","8b","3","0.5","3","-m2","G","cat_themes.krn","0","0","+m2",NA,NA
"508","4.T","V7","8ccJ","3.5","0.5","4","+m2","G","cat_themes.krn","0","0","+M2",NA,NA
"509","4.T","I","4.dd","1","1.5","5","+M2","G","cat_themes.krn","0","0","+M2",NA,NA
"512","4.P","ii","4ee","2.5","1","6","+M2","G","cat_themes.krn","0","0","P1",NA,NA
"514","4.P","ii","8ee","3.5","0.5","6","P1","G","cat_themes.krn","0","0","-M6",NA,NA
"516","4.D","C","4g)","1","1","1","-M6","G","cat_themes.krn","0","0","P1",NA,NA
"518","4.D","C","8g","2","0.5","1","P1","G","cat_themes.krn","0","0","+M2",NA,NA
"520","4.D","V7","8aL","2.5","0.5","2","+M2","G","cat_themes.krn","0","0","-M2",NA,NA
"521","4.D","V7","8g","3","0.5","1","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"522","4.D","V7","8aJ","3.5","0.5","2","+M2","G","cat_themes.krn","0","0","-M2",NA,NA
"523","4.T","I","4g","1","1","1","-M2","G","cat_themes.krn","0","0","[dd]",NA,NA
"527","8T","V","8dd","3.5","0.5","5","[dd]","G","cat_themes.krn","1","0","-d5",NA,NA
"528","2.P","V7/ii","4g#","1","1","1+","-d5","G","cat_themes.krn","0","0","P1",NA,NA
"530","2.P","V7/ii","8g#","2","0.5","1+","P1","G","cat_themes.krn","0","0","+m6",NA,NA
"531","2.P","V7/ii","4ee","2.5","1","6","+m6","G","cat_themes.krn","0","0","-M2",NA,NA
"533","2.P","V7/ii","8dd","3.5","0.5","5","-M2","G","cat_themes.krn","0","0","-M2",NA,NA
"535","2.P","ii","8.ccL","1","0.75","4","-M2","G","cat_themes.krn","0","0","P1",NA,NA
"537","2.P","ii","16cck","1.75","0.25","4","P1","G","cat_themes.krn","0","0","P1",NA,NA
"538","2.P","ii","8ccJ","2","0.5","4","P1","G","cat_themes.krn","0","1","P1",NA,NA
"541","2.P","ii","8cc","3.5","0.5","4","P1","G","cat_themes.krn","1","0","-d5",NA,NA
"542","2.D","V7","4f#","1","1","7","-d5","G","cat_themes.krn","0","0","P1",NA,NA
"544","2.D","V7","8f#","2","0.5","7","P1","G","cat_themes.krn","0","0","+m6",NA,NA
"545","2.D","V7","4dd","2.5","1","5","+m6","G","cat_themes.krn","0","0","-M2",NA,NA
"547","2.D","V7","8cc","3.5","0.5","4","-M2","G","cat_themes.krn","0","0","-m2",NA,NA
"549","4.D","I","8.bL","1","0.75","3","-m2","G","cat_themes.krn","0","0","P1",NA,NA
"551","4.D","I","16bk","1.75","0.25","3","P1","G","cat_themes.krn","0","0","P1",NA,NA
"552","4.D","I","8bJ","2","0.5","3","P1","G","cat_themes.krn","0","1","-M3",NA,NA
"555","4.D","I","8g","3.5","0.5","1","-M3","G","cat_themes.krn","1","0","+A4",NA,NA
"556","2.D","V7/V","4cc#","1","1","4+","+A4","G","cat_themes.krn","0","0","P1",NA,NA
"558","2.D","V7/V","8cc#","2","0.5","4+","P1","G","cat_themes.krn","0","0","P1",NA,NA
"560","2.D","V7/V","8cc#L","2.5","0.5","4+","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"561","2.D","V7/V","8b","3","0.5","3","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"562","2.D","V7/V","8cc#J","3.5","0.5","4+","+M2","G","cat_themes.krn","0","0","+m2",NA,NA
"563","2.D","V","4.dd;","1","1.5","5","+m2","G","cat_themes.krn","0","1","P1",NA,NA
"565","2.D","V","8dd","3.5","0.5","5","P1","G","cat_themes.krn","1","0","-M2",NA,NA
"567","4.D","V7","4cc","1","1","4","-M2","G","cat_themes.krn","0","0","P1",NA,NA
"569","4.D","V7","8cc","2","0.5","4","P1","G","cat_themes.krn","0","0","-m2",NA,NA
"571","4.D","C","4b","2.5","1","3","-m2","G","cat_themes.krn","0","0","P1",NA,NA
"573","4.D","C","8b","3.5","0.5","3","P1","G","cat_themes.krn","0","0","-M2",NA,NA
"574","4.D","V","[4.a","1","1.5","2","-M2","G","cat_themes.krn","0","0","P1",NA,NA
"577","4D","V","4a]","1","1","2","P1","G","cat_themes.krn","0","0","[a]",NA,NA
"579","8T","V","8a","3.5","0.5","2","[a]","G","cat_themes.krn","0","0","+M2",NA,NA
"580","4.T","I","4b","1","1","3","+M2","G","cat_themes.krn","0","0","P1",NA,NA
"582","4.T","I","8b","2","0.5","3","P1","G","cat_themes.krn","0","0","+m2",NA,NA
"583","4.T","V7","8ccL","2.5","0.5","4","+m2","G","cat_themes.krn","0","0","-m2",NA,NA
"584","4.T","V7","8b","3","0.5","3","-m2","G","cat_themes.krn","0","0","+m2",NA,NA
"585","4.T","V7","8ccJ","3.5","0.5","4","+m2","G","cat_themes.krn","0","0","+M2",NA,NA
"586","4.T","I","4dd","1","1","5","+M2","G","cat_themes.krn","0","0","+M2",NA,NA
"591","4.P","ii","8ee","3.5","0.5","6","+M2","G","cat_themes.krn","1","0","-M6",NA,NA
"592","4.D","C","4g)","1","1","1","-M6","G","cat_themes.krn","0","0","P1",NA,NA
"594","4.D","C","8g","2","0.5","1","P1","G","cat_themes.krn","0","0","+M2",NA,NA
"595","4.D","V7","8aL","2.5","0.5","2","+M2","G","cat_themes.krn","0","0","-M2",NA,NA
"596","4.D","V7","8g","3","0.5","1","-M2","G","cat_themes.krn","0","0","+M2",NA,NA
"597","4.D","V7","8aJ","3.5","0.5","2","+M2","G","cat_themes.krn","0","0","-M2",NA,NA
"598","4.T","I","4g","1","1","1","-M2","G","cat_themes.krn","0","0","[cc#]",NA,NA
"602","4T","I","8cc#","2","0.5","3","[cc#]","A","cat_themes.krn","1","0","+m3",NA,NA
"603","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"604","4T","V7","8dd","1","0.5","4","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"605","4T","V7","8eeJ","1.5","0.5","5","+M2","A","cat_themes.krn","0","0","-m3",NA,NA
"606","4T","I","8cc#","2","0.5","3","-m3","A","cat_themes.krn","0","0","+m3",NA,NA
"607","4T","I","8eeJ)","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-P4",NA,NA
"608","4T","V","8b","1","0.5","2","-P4","A","cat_themes.krn","0","0","+P4",NA,NA
"609","4T","V","8eeJ","1.5","0.5","5","+P4","A","cat_themes.krn","0","0","-P4",NA,NA
"610","4T","V7","8b","2","0.5","2","-P4","A","cat_themes.krn","0","0","+M2",NA,NA
"611","4T","V7","8cc#J)","2.5","0.5","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"612","4T","I","4a","1","1","1","-M3","A","cat_themes.krn","0","0","P1",NA,NA
"614","4T","I","8aL","2","0.5","1","P1","A","cat_themes.krn","0","0","+M2",NA,NA
"615","4T","I","16bL","2.5","0.25","2","+M2","A","cat_themes.krn","0","0","+M2",NA,NA
"616","4T","I","16cc#JJ","2.75","0.25","3","+M2","A","cat_themes.krn","0","0","+m2",NA,NA
"617","4T","V7","(8ddL","1","0.5","4","+m2","A","cat_themes.krn","0","0","-m3",NA,NA
"618","4T","V7","16bL","1.5","0.25","2","-m3","A","cat_themes.krn","0","0","+m3",NA,NA
"619","4T","V7","16ddJJ","1.75","0.25","4","+m3","A","cat_themes.krn","0","0","-m2",NA,NA
"620","4T","I","8cc#L","2","0.5","3","-m2","A","cat_themes.krn","0","0","-M3",NA,NA
"621","4T","I","16aL","2.5","0.25","1","-M3","A","cat_themes.krn","0","0","+M3",NA,NA
"622","4T","I","16cc#JJ)","2.75","0.25","3","+M3","A","cat_themes.krn","0","0","-M2",NA,NA
"623","4D","V","4b","1","1","2","-M2","A","cat_themes.krn","0","0","[cc#]",NA,NA
"624","4T","I","(8cc#L","2","0.5","3","[cc#]","A","cat_themes.krn","0","0","+m3",NA,NA
"625","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"626","4T","V7","8ddL","1","0.5","4","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"627","4T","V7","8eeJ","1.5","0.5","5","+M2","A","cat_themes.krn","0","0","-m3",NA,NA
"628","4T","I","8cc#L","2","0.5","3","-m3","A","cat_themes.krn","0","0","+m3",NA,NA
"629","4T","I","8eeJ)","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-P4",NA,NA
"630","4T","V","(8bL","1","0.5","2","-P4","A","cat_themes.krn","0","0","+P4",NA,NA
"631","4T","V","8eeJ","1.5","0.5","5","+P4","A","cat_themes.krn","0","0","-P4",NA,NA
"632","4T","V7","8bL","2","0.5","2","-P4","A","cat_themes.krn","0","0","+M2",NA,NA
"633","4T","V7","8cc#J)","2.5","0.5","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
"634","4T","I","4a","1","1","1","-M3","A","cat_themes.krn","0","0","P1",NA,NA
"636","4T","I","8aL","2","0.5","1","P1","A","cat_themes.krn","0","0","+M3",NA,NA
"637","4T","I","16cc#L","2.5","0.25","3","+M3","A","cat_themes.krn","0","0","+m3",NA,NA
"638","4T","I","16eeJJ","2.75","0.25","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"639","4P","IV","8dd'L","1","0.5","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"640","4P","IV","8cc#'J","1.5","0.5","3","-m2","A","cat_themes.krn","0","0","-M2",NA,NA
"641","4D","V","4b","2","1","2","-M2","A","cat_themes.krn","0","0","-M2",NA,NA
"642","4T","I","4a","1","1","1","-M2","A","cat_themes.krn","0","0","[cc#]",NA,NA
"643","4T","I","(8cc#L","2","0.5","3","[cc#]","A","cat_themes.krn","0","0","+m3",NA,NA
"644","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"645","4T","V7","8ddL","1","0.5","4","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"646","4T","V7","16eeL","1.5","0.25","5","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"647","4T","V7","16ddJJ","1.75","0.25","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"648","4T","I","8cc#L","2","0.5","3","-m2","A","cat_themes.krn","0","0","+m6",NA,NA
"649","4T","I","8aaJ","2.5","0.5","1","+m6","A","cat_themes.krn","0","0","-m7",NA,NA
"650","4T","V","8bL","1","0.5","2","-m7","A","cat_themes.krn","0","0","+P4",NA,NA
"651","4T","V","8eeJ)","1.5","0.5","5","+P4","A","cat_themes.krn","0","0","-m3",NA,NA
"652","4T","I","(8cc#L","2","0.5","3","-m3","A","cat_themes.krn","0","0","+m3",NA,NA
"653","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"654","4T","V7","8ddL","1","0.5","4","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"655","4T","V7","16eeL","1.5","0.25","5","+M2","A","cat_themes.krn","0","0","-M2",NA,NA
"656","4T","V7","16ddJJ","1.75","0.25","4","-M2","A","cat_themes.krn","0","0","-m2",NA,NA
"657","4T","I","8cc#L","2","0.5","3","-m2","A","cat_themes.krn","0","0","+m6",NA,NA
"658","4T","I","8aaJ)","2.5","0.5","1","+m6","A","cat_themes.krn","0","0","-m7",NA,NA
"659","4D","V","(4b","1","1","2","-m7","A","cat_themes.krn","0","0","[cc#]",NA,NA
"660","4T","I","8cc#L","2","0.5","3","[cc#]","A","cat_themes.krn","0","0","+m3",NA,NA
"661","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-M2",NA,NA
"662","4T","V7","8ddL","1","0.5","4","-M2","A","cat_themes.krn","0","0","+M2",NA,NA
"663","4T","V7","8eeJ","1.5","0.5","5","+M2","A","cat_themes.krn","0","0","-m3",NA,NA
"664","4T","I","8cc#L","2","0.5","3","-m3","A","cat_themes.krn","0","0","+m3",NA,NA
"665","4T","I","8eeJ","2.5","0.5","5","+m3","A","cat_themes.krn","0","0","-P4",NA,NA
"666","2T","V7","8bL","1","0.5","2","-P4","A","cat_themes.krn","0","0","+P4",NA,NA
"667","2T","V7","8eeJ","1.5","0.5","5","+P4","A","cat_themes.krn","0","0","-P4",NA,NA
"668","2T","V7","8bL","2","0.5","2","-P4","A","cat_themes.krn","0","0","+M2",NA,NA
"669","2T","V7","8cc#J)","2.5","0.5","3","+M2","A","cat_themes.krn","0","0","-M3",NA,NA
