"","X","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","depart","Response","Chordnotes"
"1329",1542,"I","4.b-",1,1.5,"1","P1","B-","1_iv.krn","+M3",1,"1 5 3"
"1330",1543,"I","8dd",2.5,0.5,"3","+M3","B-","1_iv.krn","+m2",1,"1 5 3"
"1331",1544,"IV","8ee-",1,0.5,"4","+m2","B-","1_iv.krn","-m3",1,"4 1 6"
"1332",1545,"IV","8cc",1.5,0.5,"2","-m3","B-","1_iv.krn","-M2",0,"4 1 6"
"1333",1546,"IV","8b-",2,0.5,"1","-M2","B-","1_iv.krn","-m2",1,"4 1 6"
"1334",1547,"V7","8a",2.5,0.5,"7","-m2","B-","1_iv.krn","+m2",1,"5 2 7 4 3+"
"1335",1548,"I","4.b-",1,1.5,"1","+m2","B-","1_iv.krn","+P5",1,"1 5 3"
"1336",1549,"I","8ff",2.5,0.5,"5","+P5","B-","1_iv.krn","+M2",1,"1 5 3"
"1337",1550,"IV","8gg",1,0.5,"6","+M2","B-","1_iv.krn","-M3",1,"4 1 6"
"1338",1551,"IV","8ee-",1.5,0.5,"4","-M3","B-","1_iv.krn","-m2",1,"4 1 6"
"1339",1552,"IV","8dd",2,0.5,"3","-m2","B-","1_iv.krn","-M2",0,"4 1 6"
"1340",1553,"viio","8cc",2.5,0.5,"2","-M2","B-","1_iv.krn","+M2",1,"7 2 4 1++ 3+"
"1341",1554,"I","4.dd",1,1.5,"3","+M2","B-","1_iv.krn","+m3",1,"1 5 3"
"1342",1555,"I","8ff",2.5,0.5,"5","+m3","B-","1_iv.krn","-M2",1,"1 5 3"
"1343",1556,"IV","8ee-",1,0.5,"4","-M2","B-","1_iv.krn","-m3",1,"4 1 6"
"1344",1557,"IV","8cc",1.5,0.5,"2","-m3","B-","1_iv.krn","-M2",0,"4 1 6"
"1345",1558,"IV","8b-",2,0.5,"1","-M2","B-","1_iv.krn","-m2",1,"4 1 6"
"1346",1559,"V7","8a",2.5,0.5,"7","-m2","B-","1_iv.krn","+m2",1,"5 2 7 4 3+"
"1347",1560,"I","[2b-",1,2,"1","+m2","B-","1_iv.krn","A1",1,"1 5 3"
"1348",1562,"I","4b",2,1,"1+","A1","B-","1_iv.krn","+m2",0,"1 5 3"
"1349",1563,"I","8cc",1,0.5,"2","+m2","B-","1_iv.krn","-M2",0,"1 5 3"
"1350",1564,"I","8b-",1.5,0.5,"1","-M2","B-","1_iv.krn","-M2",1,"1 5 3"
"1351",1565,"I","8a-",2,0.5,"7-","-M2","B-","1_iv.krn","-m2",0,"1 5 3"
"1352",1566,"I","8g",2.5,0.5,"6","-m2","B-","1_iv.krn","-M2",0,"1 5 3"
"1353",1567,"V7","4.f",1,1.5,"5","-M2","B-","1_iv.krn","+m3",1,"5 2 7 4 3+"
"1354",1569,"V/IV","8a-",2.5,0.5,"7-","+m3","B-","1_iv.krn","-m2",0,"1 5 3"
"1355",1570,"IV","8g",1,0.5,"6","-m2","B-","1_iv.krn","+m6",1,"4 1 6"
"1356",1571,"IV","8ee-",1.5,0.5,"4","+m6","B-","1_iv.krn","-P4",1,"4 1 6"
"1357",1572,"IV","8b-",2,0.5,"1","-P4","B-","1_iv.krn","P1",1,"4 1 6"
"1358",1573,"IV","8b-",2.5,0.5,"1","P1","B-","1_iv.krn","+m3",1,"4 1 6"
"1359",1574,"i","8dd-",1,0.5,"3-","+m3","B-","1_iv.krn","-m2",1,"1 5 3- 2+"
"1360",1575,"i","8cc",1.5,0.5,"2","-m2","B-","1_iv.krn","-M2",0,"1 5 3- 2+"
"1361",1576,"i","8b-",2,0.5,"1","-M2","B-","1_iv.krn","-M2",1,"1 5 3- 2+"
"1362",1577,"i","8a-",2.5,0.5,"7-","-M2","B-","1_iv.krn","-m2",0,"1 5 3- 2+"
"1365",1580,"i","4.a-",1,1.5,"3","-M2","f","1_iv.krn","+M6",0,"1 5 3- 2+"
"1366",1581,"i","8ff",2.5,0.5,"1","+M6","f","1_iv.krn","-m2",1,"1 5 3- 2+"
"1367",1582,"V7","4.ee",1,1.5,"7","-m2","f","1_iv.krn","+m3",1,"5 2 7 4 3+"
"1368",1583,"V7","8gg",2.5,0.5,"2","+m3","f","1_iv.krn","-M2",1,"5 2 7 4 3+"
"1369",1584,"i","4.ff",1,1.5,"1","-M2","f","1_iv.krn","+m3",1,"1 5 3- 2+"
"1370",1585,"i","8aa-",2.5,0.5,"3","+m3","f","1_iv.krn","-d7",0,"1 5 3- 2+"
"1371",1586,"viioD7/V","4.b",1,1.5,"4+","-d7","f","1_iv.krn","+m3",1,"4+ 6 1 2+ 5++ 7+"
"1372",1587,"viioD7/V","8dd",2.5,0.5,"6+","+m3","f","1_iv.krn","-M2",0,"4+ 6 1 2+ 5++ 7+"
"1373",1588,"V","4cc",1,1,"5","-M2","f","1_iv.krn","-P8",1,"5 2 7"
"1374",1590,"V","8c",2.5,0.5,"5","-P8","f","1_iv.krn","+P8",1,"5 2 7"
"1375",1591,"V","8cc",1,0.5,"5","+P8","f","1_iv.krn","-M2",1,"5 2 7"
"1376",1592,"V","8b-",1.5,0.5,"4","-M2","f","1_iv.krn","-M2",0,"5 2 7"
"1377",1593,"i","8a-",2,0.5,"3","-M2","f","1_iv.krn","-m2",0,"1 5 3- 2+"
"1378",1594,"i","8g",2.5,0.5,"2","-m2","f","1_iv.krn","-M2",0,"1 5 3- 2+"
"1379",1595,"V7/iv","8f",1,0.5,"1","-M2","f","1_iv.krn","P1",1,"1 5 3 7- 6+"
"1380",1596,"V7/iv","8f",1.5,0.5,"1","P1","f","1_iv.krn","+P8",1,"1 5 3 7- 6+"
"1381",1597,"V7/iv","8ff",2,0.5,"1","+P8","f","1_iv.krn","-M2",1,"1 5 3 7- 6+"
"1382",1598,"V7/iv","8ee-",2.5,0.5,"7-","-M2","f","1_iv.krn","-M2",1,"1 5 3 7- 6+"
"1383",1599,"iv","8dd-",1,0.5,"6","-M2","f","1_iv.krn","-m2",0,"4 1 6- 5+"
"1384",1600,"iv","8cc",1.5,0.5,"5","-m2","f","1_iv.krn","-M2",0,"4 1 6- 5+"
"1385",1601,"iv","8b-",2,0.5,"4","-M2","f","1_iv.krn","P1",1,"4 1 6- 5+"
"1386",1602,"iv","8b-",2.5,0.5,"4","P1","f","1_iv.krn","+P8",1,"4 1 6- 5+"
"1387",1603,"iv","8bb-",1,0.5,"4","+P8","f","1_iv.krn","-M2",1,"4 1 6- 5+"
"1388",1604,"iv","8aa-",1.5,0.5,"3","-M2","f","1_iv.krn","-m2",0,"4 1 6- 5+"
"1389",1605,"III/V","8gg",2,0.5,"2","-m2","f","1_iv.krn","-M2",0,"7 4+ 2+"
"1390",1606,"III/V","8ff",2.5,0.5,"1","-M2","f","1_iv.krn","-M2",0,"7 4+ 2+"
"1391",1607,"V7/VI","8ee-",1,0.5,"3","-M2","c","1_iv.krn","-P8",0,"3- 7- 5 2- 1+"
"1392",1608,"V7/VI","8e-",1.5,0.5,"3","-P8","c","1_iv.krn","+P8",0,"3- 7- 5 2- 1+"
"1393",1609,"V7/VI","8ee-",2,0.5,"3","+P8","c","1_iv.krn","-M2",0,"3- 7- 5 2- 1+"
"1394",1610,"V7/VI","8dd-",2.5,0.5,"2-","-M2","c","1_iv.krn","-m2",1,"3- 7- 5 2- 1+"
"1395",1611,"VI","8cc",1,0.5,"1","-m2","c","1_iv.krn","-M2",0,"6 3 1+"
"1396",1612,"VI","8b-",1.5,0.5,"7-","-M2","c","1_iv.krn","-M2",0,"6 3 1+"
"1397",1613,"VI","8a-",2,0.5,"6","-M2","c","1_iv.krn","-m2",1,"6 3 1+"
"1398",1614,"VI","8g",2.5,0.5,"5","-m2","c","1_iv.krn","-M2",0,"6 3 1+"
"1399",1615,"ii","8f",1,0.5,"4","-M2","c","1_iv.krn","-M2",1,"2 6 4 3+"
"1400",1616,"ii","8e-",1.5,0.5,"3","-M2","c","1_iv.krn","-m2",0,"2 6 4 3+"
"1401",1617,"ii","8d",2,0.5,"2","-m2","c","1_iv.krn","-M2",1,"2 6 4 3+"
"1402",1618,"viio/V","8c",2.5,0.5,"1","-M2","c","1_iv.krn","-m2",1,"4+ 6 1 5++ 7+"
"1403",1619,"V","8B",1,0.5,"7","-m2","c","1_iv.krn","+m6",1,"5 2 7"
"1404",1620,"V","4g",1.5,1,"5","+m6","c","1_iv.krn","+P5",1,"5 2 7"
"1405",1621,"V","[8dd",2.5,0.5,"2","+P5","c","1_iv.krn","+m2",1,"5 2 7"
"1406",1623,"i","4ee-",1.5,1,"3","+m2","c","1_iv.krn","-m3",0,"1 5 3- 2+"
"1407",1625,"viio/V","[8cc",2.5,0.5,"1","-m3","c","1_iv.krn","-m2",1,"4+ 6 1 5++ 7+"
"1408",1627,"V","4b",1.5,1,"7","-m2","c","1_iv.krn","+m6",1,"5 2 7"
"1409",1628,"V","[8gg",2.5,0.5,"5","+m6","c","1_iv.krn","-M2",1,"5 2 7"
"1410",1630,"V7","4ff",1.5,1,"4","-M2","c","1_iv.krn","-M2",1,"5 2 7 4 3+"
"1411",1632,"i","[8ee-",2.5,0.5,"3","-M2","c","1_iv.krn","-m2",0,"1 5 3- 2+"
"1412",1634,"V","4dd",1.5,1,"2","-m2","c","1_iv.krn","+m2",1,"5 2 7"
"1413",1636,"i","[8ee-",2.5,0.5,"3","+m2","c","1_iv.krn","-m2",0,"1 5 3- 2+"
"1414",1638,"V","4dd",1.5,1,"2","-m2","c","1_iv.krn","-M2",1,"5 2 7"
"1415",1640,"viio/V","[8cc",2.5,0.5,"1","-M2","c","1_iv.krn","-m2",1,"4+ 6 1 5++ 7+"
"1416",1642,"V","4b",1.5,1,"7","-m2","c","1_iv.krn","+d7",1,"5 2 7"
"1417",1643,"V","[8aa-",2.5,0.5,"6","+d7","c","1_iv.krn","-d7",0,"5 2 7"
"1418",1645,"viioD7","4b",1.5,1,"7","-d7","c","1_iv.krn","+m6",1,"7 2 4 5+ 1++ 3+"
"1419",1646,"viioD7","[8gg",2.5,0.5,"5","+m6","c","1_iv.krn","-P5",0,"7 2 4 5+ 1++ 3+"
"1420",1648,"i","4cc",1.5,1,"1","-P5","c","1_iv.krn","+P8",1,"1 5 3- 2+"
"1421",1649,"i","[8ccc",2.5,0.5,"1","+P8","c","1_iv.krn","-M7",1,"1 5 3- 2+"
"1422",1651,"N","4dd-",1.5,1,"2-","-M7","c","1_iv.krn","+M6",1,"2- 6- 4 1+ 5+"
"1423",1652,"N","[8bb-",2.5,0.5,"7-","+M6","c","1_iv.krn","-d5",0,"2- 6- 4 1+ 5+"
"1424",1654,"viioD7/iv","4ee",1.5,1,"3+","-d5","c","1_iv.krn","+m6",0,"3 5 7- 1+ 4++ 6+"
"1425",1655,"viioD7/iv","[8ccc",2.5,0.5,"1","+m6","c","1_iv.krn","-P5",0,"3 5 7- 1+ 4++ 6+"
"1426",1657,"iv","4ff",1.5,1,"4","-P5","c","1_iv.krn","+m7",1,"4 1 6- 5+"
"1427",1658,"iv","[8eee-",2.5,0.5,"3","+m7","c","1_iv.krn","-d7",0,"4 1 6- 5+"
"1428",1660,"viioD7/v","4ff#",1.5,1,"4+","-d7","c","1_iv.krn","+m6",1,"4+ 6 1 2+ 5++ 7+"
"1429",1661,"viioD7/v","[8ddd",2.5,0.5,"2","+m6","c","1_iv.krn","-P5",0,"4+ 6 1 2+ 5++ 7+"
"1430",1663,"v","4gg",1.5,1,"5","-P5","c","1_iv.krn","+P4",1,"5 2 7- 6+"
"1431",1664,"v","[8ccc",2.5,0.5,"1","+P4","c","1_iv.krn","-M6",0,"5 2 7- 6+"
"1432",1666,"viioD7/v","4ee-",1.5,1,"3","-M6","c","1_iv.krn","+M6",0,"4+ 6 1 2+ 5++ 7+"
"1433",1667,"viioD7/v","[8ccc",2.5,0.5,"1","+M6","c","1_iv.krn","-m7",1,"4+ 6 1 2+ 5++ 7+"
"1434",1669,"V7/v","4dd",1.5,1,"2","-m7","c","1_iv.krn","+m6",1,"2 6 4+ 1 7+"
"1435",1670,"V7/v","[8bb-",2.5,0.5,"7-","+m6","c","1_iv.krn","-m6",0,"2 6 4+ 1 7+"
"1436",1672,"v","4dd",1.5,1,"2","-m6","c","1_iv.krn","+m6",1,"5 2 7- 6+"
"1437",1673,"v","[8bb-",2.5,0.5,"7-","+m6","c","1_iv.krn","-d7",1,"5 2 7- 6+"
"1438",1675,"Gn/V","4cc#",1.5,1,"1+","-d7","c","1_iv.krn","+d7",1,"3- 5 1+ 2+ 2- 7- 6+"
"1439",1676,"Gn/V","[8bb-",2.5,0.5,"7-","+d7","c","1_iv.krn","-d7",1,"3- 5 1+ 2+ 2- 7- 6+"
"1440",1678,"Gn/V","4cc#",1.5,1,"1+","-d7","c","1_iv.krn","+d7",1,"3- 5 1+ 2+ 2- 7- 6+"
"1441",1679,"Gn/V","[8bb-",2.5,0.5,"7-","+d7","c","1_iv.krn","-M6",1,"3- 5 1+ 2+ 2- 7- 6+"
"1442",1681,"V7/VI","4dd-",1.5,1,"2-","-M6","c","1_iv.krn","+M6",1,"3- 7- 5 2- 1+"
"1443",1682,"V7/VI","[8bb-",2.5,0.5,"7-","+M6","c","1_iv.krn","-M6",1,"3- 7- 5 2- 1+"
"1444",1684,"V7/VI","4dd-",1.5,1,"2-","-M6","c","1_iv.krn","+P5",1,"3- 7- 5 2- 1+"
"1445",1685,"V7/VI","[8aa-",2.5,0.5,"6","+P5","c","1_iv.krn","-m6",0,"3- 7- 5 2- 1+"
"1446",1687,"VI","4cc",1.5,1,"1","-m6","c","1_iv.krn","+m6",0,"6 3 1+"
"1447",1688,"VI","[8aa-",2.5,0.5,"6","+m6","c","1_iv.krn","-m7",1,"6 3 1+"
"1448",1690,"III","4b-",1.5,1,"7-","-m7","c","1_iv.krn","+M6",0,"3 7 5+"
"1449",1691,"III","[8gg",2.5,0.5,"5","+M6","c","1_iv.krn","-M6",0,"3 7 5+"
"1450",1693,"III","4b-",1.5,1,"7-","-M6","c","1_iv.krn","+m6",0,"3 7 5+"
"1451",1694,"III","[8gg-",2.5,0.5,"5-","+m6","c","1_iv.krn","-d7",0,"3 7 5+"
"1460",1707,"V/III","4.b-",1,1.5,"7-","+m2","c","1_iv.krn","+M3",1,"7- 4 2"
"1461",1708,"V/III","8dd",2.5,0.5,"2","+M3","c","1_iv.krn","+m2",1,"7- 4 2"
"1462",1709,"III","8ee-",1,0.5,"3","+m2","c","1_iv.krn","-m3",1,"3 7 5+"
"1463",1710,"III","8cc",1.5,0.5,"1","-m3","c","1_iv.krn","-M2",0,"3 7 5+"
"1464",1711,"III","8b-",2,0.5,"7-","-M2","c","1_iv.krn","-m2",0,"3 7 5+"
"1465",1712,"III","8a",2.5,0.5,"6+","-m2","c","1_iv.krn","+m2",0,"3 7 5+"
"1466",1713,"V/III","4.b-",1,1.5,"7-","+m2","c","1_iv.krn","+M3",1,"7- 4 2"
"1467",1714,"V/III","8dd",2.5,0.5,"2","+M3","c","1_iv.krn","+m2",1,"7- 4 2"
"1468",1715,"III","8ee-",1,0.5,"3","+m2","c","1_iv.krn","-m3",1,"3 7 5+"
"1469",1716,"III","8cc",1.5,0.5,"1","-m3","c","1_iv.krn","-M2",0,"3 7 5+"
"1470",1717,"III","8b-",2,0.5,"7-","-M2","c","1_iv.krn","-m2",0,"3 7 5+"
"1471",1718,"III","8a",2.5,0.5,"6+","-m2","c","1_iv.krn","+m2",0,"3 7 5+"
"1472",1719,"V/III","[2b-",1,2,"7-","+m2","c","1_iv.krn","A1",1,"7- 4 2"
"1473",1721,"V/III","4b",2,1,"7","A1","c","1_iv.krn","+m2",0,"7- 4 2"
"1478",1727,"V7/V","4.f",1,1.5,"2","-M2","E-","1_iv.krn","+m3",1,"2 6 4+ 1 7+"
"1479",1729,"V7","8a-",2.5,0.5,"4","+m3","E-","1_iv.krn","-m2",1,"5 2 7 4 3+"
"1480",1730,"I","8g",1,0.5,"3","-m2","E-","1_iv.krn","+m6",1,"1 5 3"
"1481",1731,"I","8ee-",1.5,0.5,"1","+m6","E-","1_iv.krn","-P4",1,"1 5 3"
"1482",1732,"I","8b-",2,0.5,"5","-P4","E-","1_iv.krn","P1",1,"1 5 3"
"1483",1733,"I","8b-",2.5,0.5,"5","P1","E-","1_iv.krn","+M2",1,"1 5 3"
"1484",1734,"I","8cc",1,0.5,"6","+M2","E-","1_iv.krn","-M2",0,"1 5 3"
"1485",1735,"I","8b-",1.5,0.5,"5","-M2","E-","1_iv.krn","-M2",1,"1 5 3"
"1486",1736,"I","8a-",2,0.5,"4","-M2","E-","1_iv.krn","-m2",0,"1 5 3"
"1487",1737,"I","8g",2.5,0.5,"3","-m2","E-","1_iv.krn","-M2",1,"1 5 3"
"1488",1738,"IV","4.f",1,1.5,"2","-M2","E-","1_iv.krn","+m3",0,"4 1 6"
"1489",1740,"V7","16a-",2.5,0.25,"4","+m3","E-","1_iv.krn","-m3",1,"5 2 7 4 3+"
"1490",1741,"V7","16f",2.75,0.25,"2","-m3","E-","1_iv.krn","-M2",1,"5 2 7 4 3+"
"1491",1742,"I","4e-",1,1,"1","-M2","E-","1_iv.krn","+P12",1,"1 5 3"
"1492",1746,"V","8bb-",1.5,0.5,"5","+P12","E-","1_iv.krn","-P8",1,"5 2 7"
"1493",1747,"V","8b-",2,0.5,"5","-P8","E-","1_iv.krn","-M2",1,"5 2 7"
"1494",1748,"V7","8a-",2.5,0.5,"4","-M2","E-","1_iv.krn","-m2",1,"5 2 7 4 3+"
"1495",1749,"I","8g",1,0.5,"3","-m2","E-","1_iv.krn","+m6",1,"1 5 3"
"1496",1750,"I","8ee-",1.5,0.5,"1","+m6","E-","1_iv.krn","-P4",1,"1 5 3"
"1497",1751,"I","8b-",2,0.5,"5","-P4","E-","1_iv.krn","+P8",1,"1 5 3"
"1498",1755,"V","8bb-",1.5,0.5,"5","+P8","E-","1_iv.krn","-P8",1,"5 2 7"
"1499",1756,"V","[4b-",2,1,"5","-P8","E-","1_iv.krn","+P4",1,"5 2 7"
"1500",1758,"vi","8ee-",1.5,0.5,"1","+P4","E-","1_iv.krn","-P5",1,"6 3 1 7+"
"1501",1759,"IV","[4a-",2,1,"4","-P5","E-","1_iv.krn","+M7",1,"4 1 6"
"1502",1761,"iii","8gg",1.5,0.5,"3","+M7","E-","1_iv.krn","-P8",1,"3 7 5 4++"
"1503",1762,"iii","[4g",2,1,"3","-P8","E-","1_iv.krn","+P4",1,"3 7 5 4++"
"1504",1764,"IV","8cc",1.5,0.5,"6","+P4","E-","1_iv.krn","-P5",1,"4 1 6"
"1505",1765,"ii","[4f",2,1,"2","-P5","E-","1_iv.krn","+m7",1,"2 6 4 3+"
"1506",1767,"I","8ee-",1.5,0.5,"1","+m7","E-","1_iv.krn","-P8",1,"1 5 3"
"1507",1768,"I","4e-",2,1,"1","-P8","E-","1_iv.krn","-m2",1,"1 5 3"
"1508",1769,"viio","8d",1,0.5,"7","-m2","E-","1_iv.krn","+d5",1,"7 2 4 1++ 3+"
"1509",1770,"viio","4a-",1.5,1,"4","+d5","E-","1_iv.krn","-m2",1,"7 2 4 1++ 3+"
"1510",1772,"I","8g",2.5,0.5,"3","-m2","E-","1_iv.krn","+P4",1,"1 5 3"
"1511",1773,"ii","8cc",1,0.5,"6","+P4","E-","1_iv.krn","-P5",1,"2 6 4 3+"
"1512",1774,"ii","4f",1.5,1,"2","-P5","E-","1_iv.krn","-M2",1,"2 6 4 3+"
"1513",1776,"V7/V","[8e-",2.5,0.5,"1","-M2","E-","1_iv.krn","-m2",1,"2 6 4+ 1 7+"
"1514",1778,"V","4d",1.5,1,"7","-m2","E-","1_iv.krn","+d5",1,"5 2 7"
"1515",1779,"V7","[8a-",2.5,0.5,"4","+d5","E-","1_iv.krn","-m2",1,"5 2 7 4 3+"
"1516",1781,"I","4g",1.5,1,"3","-m2","E-","1_iv.krn","+m6",1,"1 5 3"
"1517",1782,"I","[8ee-",2.5,0.5,"1","+m6","E-","1_iv.krn","-d5",1,"1 5 3"
"1518",1784,"viioD7/V","4a",1.5,1,"4+","-d5","E-","1_iv.krn","+d5",1,"4+ 6 1 2+ 5++ 7+"
"1519",1785,"viioD7/V","[8ee-",2.5,0.5,"1","+d5","E-","1_iv.krn","-M6",1,"4+ 6 1 2+ 5++ 7+"
"1520",1787,"viioD7/V","4g-",1.5,1,"3-","-M6","E-","1_iv.krn","+M6",0,"4+ 6 1 2+ 5++ 7+"
"1521",1788,"viioD7/V","[8ee-",2.5,0.5,"1","+M6","E-","1_iv.krn","-d5",1,"4+ 6 1 2+ 5++ 7+"
"1522",1790,"viioD7/V","4a",1.5,1,"4+","-d5","E-","1_iv.krn","+d5",1,"4+ 6 1 2+ 5++ 7+"
"1523",1791,"viioD7/V","[8ee-",2.5,0.5,"1","+d5","E-","1_iv.krn","-M6",1,"4+ 6 1 2+ 5++ 7+"
"1524",1793,"viioD7/V","4g-",1.5,1,"3-","-M6","E-","1_iv.krn","+M6",0,"4+ 6 1 2+ 5++ 7+"
"1525",1794,"viioD7/V","[8ee-",2.5,0.5,"1","+M6","E-","1_iv.krn","-m7",1,"4+ 6 1 2+ 5++ 7+"
"1526",1796,"V/V","4f",1.5,1,"2","-m7","E-","1_iv.krn","+M9",1,"2 6 4+"
"1527",1797,"V/V","[8gg",2.5,0.5,"3","+M9","E-","1_iv.krn","-M2",0,"2 6 4+"
"1528",1799,"V7/V","4ff",1.5,1,"2","-M2","E-","1_iv.krn","-M2",1,"2 6 4+ 1 7+"
"1529",1800,"V7/V","8ee-",2.5,0.5,"1","-M2","E-","1_iv.krn","-m2",1,"2 6 4+ 1 7+"
"1530",1801,"V7","8dd",1,0.5,"7","-m2","E-","1_iv.krn","+m3",1,"5 2 7 4 3+"
"1531",1802,"V7","4ff",1.5,1,"2","+m3","E-","1_iv.krn","-m3",1,"5 2 7 4 3+"
"1532",1803,"V7","[8dd",2.5,0.5,"7","-m3","E-","1_iv.krn","+m2",1,"5 2 7 4 3+"
"1533",1805,"I","4ee-",1.5,1,"1","+m2","E-","1_iv.krn","-P4",1,"1 5 3"
"1534",1806,"I","[8b-",2.5,0.5,"5","-P4","E-","1_iv.krn","-M2",1,"1 5 3"
"1535",1808,"V7","4a-",1.5,1,"4","-M2","E-","1_iv.krn","-m2",1,"5 2 7 4 3+"
"1536",1810,"I","[8g",2.5,0.5,"3","-m2","E-","1_iv.krn","-M2",1,"1 5 3"
"1537",1812,"V","4f",1.5,1,"2","-M2","E-","1_iv.krn","-M2",1,"5 2 7"
"1538",1814,"I","[8e-",2.5,0.5,"1","-M2","E-","1_iv.krn","-m3",1,"1 5 3"
"1539",1816,"vi","4c",1.5,1,"6","-m3","E-","1_iv.krn","-m3",1,"6 3 1 7+"
"1540",1818,"viio/V","8A",2.5,0.5,"4+","-m3","E-","1_iv.krn","P1",1,"4+ 6 1 5++ 7+"
"1541",1819,"viio/V","8A",1,0.5,"4+","P1","E-","1_iv.krn","+m2",1,"4+ 6 1 5++ 7+"
"1542",1820,"V","8B-",1.5,0.5,"5","+m2","E-","1_iv.krn","P1",1,"5 2 7"
"1543",1823,"I","8B-",2.5,0.5,"5","P1","E-","1_iv.krn","+M2",1,"1 5 3"
"1544",1824,"I","8c",1,0.5,"6","+M2","E-","1_iv.krn","+M2",0,"1 5 3"
"1545",1825,"I","8d",1.5,0.5,"7","+M2","E-","1_iv.krn","+m2",0,"1 5 3"
"1546",1826,"I","8e-",2,0.5,"1","+m2","E-","1_iv.krn","+M2",1,"1 5 3"
"1547",1827,"I","8f",2.5,0.5,"2","+M2","E-","1_iv.krn","+M2",0,"1 5 3"
"1548",1828,"I","8g",1,0.5,"3","+M2","E-","1_iv.krn","+m2",1,"1 5 3"
"1549",1829,"I","8a-",1.5,0.5,"4","+m2","E-","1_iv.krn","+M2",0,"1 5 3"
"1550",1830,"I","8b-",2,0.5,"5","+M2","E-","1_iv.krn","-m3",1,"1 5 3"
"1551",1831,"I","8g",2.5,0.5,"3","-m3","E-","1_iv.krn","+m2",1,"1 5 3"
"1552",1832,"I","8a-",1,0.5,"4","+m2","E-","1_iv.krn","+M2",0,"1 5 3"
"1553",1833,"I","8b-",1.5,0.5,"5","+M2","E-","1_iv.krn","+M2",1,"1 5 3"
"1554",1834,"I","8cc",2,0.5,"6","+M2","E-","1_iv.krn","+M2",0,"1 5 3"
"1555",1835,"I","8dd",2.5,0.5,"7","+M2","E-","1_iv.krn","+m2",0,"1 5 3"
"1556",1836,"I","8ee-",1,0.5,"1","+m2","E-","1_iv.krn","+M2",1,"1 5 3"
"1557",1837,"I","8ff",1.5,0.5,"2","+M2","E-","1_iv.krn","+M2",0,"1 5 3"
"1558",1838,"I","8gg",2,0.5,"3","+M2","E-","1_iv.krn","P1",1,"1 5 3"
"1559",1839,"I","8gg",2.5,0.5,"3","P1","E-","1_iv.krn","-M2",1,"1 5 3"
"1560",1840,"V7/V","8ff",1,0.5,"2","-M2","E-","1_iv.krn","P1",1,"2 6 4+ 1 7+"
"1561",1841,"V7/V","4ff",1.5,1,"2","P1","E-","1_iv.krn","P1",1,"2 6 4+ 1 7+"
"1562",1843,"V","[8ff",2.5,0.5,"2","P1","E-","1_iv.krn","P1",1,"5 2 7"
"1563",1845,"V7/V","4ff",1.5,1,"2","P1","E-","1_iv.krn","P1",1,"2 6 4+ 1 7+"
"1564",1847,"V","[8ff",2.5,0.5,"2","P1","E-","1_iv.krn","P1",1,"5 2 7"
"1565",1849,"V7/V","4ff",1.5,1,"2","P1","E-","1_iv.krn","P1",1,"2 6 4+ 1 7+"
"1566",1851,"V","[8ff",2.5,0.5,"2","P1","E-","1_iv.krn","P1",1,"5 2 7"
"1567",1853,"V7/V","4ff",1.5,1,"2","P1","E-","1_iv.krn","P1",1,"2 6 4+ 1 7+"
"1568",1855,"V7/V","8ff",2.5,0.5,"2","P1","E-","1_iv.krn","-M2",1,"2 6 4+ 1 7+"
"1569",1856,"I","4..ee-",1,1.75,"1","-M2","E-","1_iv.krn","-m2",1,"1 5 3"
"1570",1857,"V","16dd",2.75,0.25,"7","-m2","E-","1_iv.krn","+m2",1,"5 2 7"
"1571",1858,"I","4..ee-",1,1.75,"1","+m2","E-","1_iv.krn","-m2",1,"1 5 3"
"1572",1859,"V","16dd",2.75,0.25,"7","-m2","E-","1_iv.krn","+m2",1,"5 2 7"
"1573",1860,"I","8ee-",1,0.5,"1","+m2","E-","1_iv.krn","-m2",1,"1 5 3"
"1574",1861,"I","8dd",1.5,0.5,"7","-m2","E-","1_iv.krn","-M2",0,"1 5 3"
"1575",1862,"I","8cc",2,0.5,"6","-M2","E-","1_iv.krn","-M2",0,"1 5 3"
"1576",1863,"I","8b-",2.5,0.5,"5","-M2","E-","1_iv.krn","-m2",1,"1 5 3"
"1577",1864,"I","8a",1,0.5,"4+","-m2","E-","1_iv.krn","d1",0,"1 5 3"
"1578",1865,"I","8a-",1.5,0.5,"4","d1","E-","1_iv.krn","-m2",0,"1 5 3"
"1579",1866,"I","8g",2,0.5,"3","-m2","E-","1_iv.krn","-M2",1,"1 5 3"
"1580",1867,"I","8f",2.5,0.5,"2","-M2","E-","1_iv.krn","-M2",0,"1 5 3"
"1581",1868,"I","[2e-",1,2,"1","-M2","E-","1_iv.krn","+M2",1,"1 5 3"
"1582",1870,"V7","8.f",2,0.75,"2","+M2","E-","1_iv.krn","-M2",1,"5 2 7 4 3+"
"1583",1871,"V7","16e-",2.75,0.25,"1","-M2","E-","1_iv.krn","P1",0,"5 2 7 4 3+"
"1584",1872,"I","4.e-",1,1.5,"1","P1","E-","1_iv.krn","+M3",1,"1 5 3"
"1585",1873,"I","8g",2.5,0.5,"3","+M3","E-","1_iv.krn","+m2",1,"1 5 3"
