""	"function"	"harm"	"melody"	"beat_pos"	"duration"	"scale_deg"	"approaching"	"key"	"file"	"depart"	"Response"	"Chordnotes"
"5416"	"2.T"	"I"	"24ee#'"	"3.16667"	"0.166667"	"2+"	"+A2"	"D"	"B065.krn"	"+m2"	NA	NA
"5417"	"2.T"	"I"	"24ff#'J)"	"3.33333"	"0.166667"	"3"	"+m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5418"	"2.T"	"I"	"(32ggLL"	"3.5"	"0.125"	"4"	"+m2"	"D"	"B065.krn"	"A1"	NA	NA
"5419"	"2.T"	"I"	"32gg#"	"3.625"	"0.125"	"4+"	"A1"	"D"	"B065.krn"	"+m2"	NA	NA
"5420"	"2.T"	"I"	"32aa"	"3.75"	"0.125"	"5"	"+m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5421"	"2.T"	"I"	"32ggJJJ"	"3.875"	"0.125"	"4"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5422"	"2.T"	"I"	"16ff#')"	"1"	"0.25"	"3"	"-m2"	"D"	"B065.krn"	"P1"	NA	NA
"5424"	"2.T"	"I"	"(16.ff#LL"	"1.5"	"0.375"	"3"	"P1"	"D"	"B065.krn"	"-M2"	NA	NA
"5426"	"2.T"	"I"	"32eeJJk"	"1.875"	"0.125"	"2"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5427"	"2.T"	"I"	"16dd)"	"2"	"0.25"	"1"	"-M2"	"D"	"B065.krn"	"-P11"	NA	NA
"5428"	"2.T"	"I"	"16ALL"	"2.25"	"0.25"	"5"	"-P11"	"D"	"B065.krn"	"+P4"	NA	NA
"5429"	"2.T"	"I"	"16d"	"2.5"	"0.25"	"1"	"+P4"	"D"	"B065.krn"	"+M2"	NA	NA
"5430"	"2.T"	"I"	"16e"	"2.75"	"0.25"	"2"	"+M2"	"D"	"B065.krn"	"+M2"	NA	NA
"5431"	"2.T"	"I"	"8f#"	"3"	"0.5"	"3"	"+M2"	"D"	"B065.krn"	"+P8"	NA	NA
"5433"	"2.T"	"I"	"(16.ff#LL"	"3.5"	"0.375"	"3"	"+P8"	"D"	"B065.krn"	"-M3"	NA	NA
"5435"	"2.T"	"I"	"32ddJJk)"	"3.875"	"0.125"	"1"	"-M3"	"D"	"B065.krn"	"+P4"	NA	NA
"5436"	"2.T"	"V7"	"8gg"	"1"	"0.5"	"4"	"+P4"	"D"	"B065.krn"	"-P8"	NA	NA
"5438"	"2.T"	"V7"	"16.g"	"1.5"	"0.375"	"4"	"-P8"	"D"	"B065.krn"	"-m2"	NA	NA
"5440"	"2.T"	"V7"	"32f#"	"1.875"	"0.125"	"3"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5441"	"2.T"	"V7"	"16e"	"2"	"0.25"	"2"	"-M2"	"D"	"B065.krn"	"+P4"	NA	NA
"5442"	"2.T"	"V7"	"(16aLL"	"2.25"	"0.25"	"5"	"+P4"	"D"	"B065.krn"	"+P5"	NA	NA
"5443"	"2.T"	"V7"	"16ee"	"2.5"	"0.25"	"2"	"+P5"	"D"	"B065.krn"	"+M2"	NA	NA
"5444"	"2.T"	"V7"	"16ff#"	"2.75"	"0.25"	"3"	"+M2"	"D"	"B065.krn"	"+m2"	NA	NA
"5445"	"2.T"	"V7"	"8gg"	"3"	"0.5"	"4"	"+m2"	"D"	"B065.krn"	"P1"	NA	NA
"5447"	"2.T"	"V7"	"(16.ggLL"	"3.5"	"0.375"	"4"	"P1"	"D"	"B065.krn"	"-m3"	NA	NA
"5449"	"2.T"	"V7"	"32eeJJk"	"3.875"	"0.125"	"2"	"-m3"	"D"	"B065.krn"	"+P4"	NA	NA
"5450"	"8T"	"I"	"32aaLLL)"	"1"	"0.125"	"5"	"+P4"	"D"	"B065.krn"	"P1"	NA	NA
"5451"	"8T"	"I"	"32aa"	"1.125"	"0.125"	"5"	"P1"	"D"	"B065.krn"	"-d4"	NA	NA
"5452"	"8T"	"I"	"32ee#"	"1.25"	"0.125"	"2+"	"-d4"	"D"	"B065.krn"	"+m2"	NA	NA
"5453"	"8T"	"I"	"32ff#JJJ"	"1.375"	"0.125"	"3"	"+m2"	"D"	"B065.krn"	"P1"	NA	NA
"5455"	"8T"	"V7/ii"	"(32ff#LLL"	"1.625"	"0.125"	"3"	"P1"	"D"	"B065.krn"	"+d5"	NA	NA
"5456"	"8T"	"V7/ii"	"32ccc"	"1.75"	"0.125"	"7-"	"+d5"	"D"	"B065.krn"	"-m2"	NA	NA
"5457"	"8T"	"V7/ii"	"32bbJJJ)"	"1.875"	"0.125"	"6"	"-m2"	"D"	"B065.krn"	"P1"	NA	NA
"5459"	"8T"	"ii"	"(32bbLLL"	"2.125"	"0.125"	"6"	"P1"	"D"	"B065.krn"	"-m6"	NA	NA
"5460"	"8T"	"ii"	"32dd#"	"2.25"	"0.125"	"1+"	"-m6"	"D"	"B065.krn"	"+m2"	NA	NA
"5461"	"8T"	"ii"	"32eeJJJ)"	"2.375"	"0.125"	"2"	"+m2"	"D"	"B065.krn"	"P1"	NA	NA
"5463"	"8T"	"V7"	"(32eeLLL"	"2.625"	"0.125"	"2"	"P1"	"D"	"B065.krn"	"+P5"	NA	NA
"5464"	"8T"	"V7"	"32bb"	"2.75"	"0.125"	"6"	"+P5"	"D"	"B065.krn"	"-M2"	NA	NA
"5465"	"8T"	"V7"	"32aaJJJ)"	"2.875"	"0.125"	"5"	"-M2"	"D"	"B065.krn"	"P1"	NA	NA
"5467"	"4T"	"I"	"(32aaLLL"	"3.125"	"0.125"	"5"	"P1"	"D"	"B065.krn"	"+P5"	NA	NA
"5468"	"4T"	"I"	"32eee"	"3.25"	"0.125"	"2"	"+P5"	"D"	"B065.krn"	"-M2"	NA	NA
"5469"	"4T"	"I"	"32dddJJ"	"3.375"	"0.125"	"1"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5470"	"4T"	"I"	"32cccLL"	"3.5"	"0.125"	"7-"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5471"	"4T"	"I"	"32bb"	"3.625"	"0.125"	"6"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5472"	"4T"	"I"	"32aa"	"3.75"	"0.125"	"5"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5473"	"4T"	"I"	"32ggJJJ"	"3.875"	"0.125"	"4"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5474"	"2.D"	"V"	"32ff#LLL"	"1"	"0.125"	"3"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5475"	"2.D"	"V"	"32gg"	"1.125"	"0.125"	"4"	"+m2"	"D"	"B065.krn"	"A1"	NA	NA
"5476"	"2.D"	"V"	"32gg#"	"1.25"	"0.125"	"4+"	"A1"	"D"	"B065.krn"	"+m2"	NA	NA
"5477"	"2.D"	"V"	"32aaJJ"	"1.375"	"0.125"	"5"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5478"	"2.D"	"V"	"32bbLL"	"1.5"	"0.125"	"6"	"+M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5479"	"2.D"	"V"	"32aa"	"1.625"	"0.125"	"5"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5480"	"2.D"	"V"	"32gg#"	"1.75"	"0.125"	"4+"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5481"	"2.D"	"V"	"32aaJJJ)"	"1.875"	"0.125"	"5"	"+m2"	"D"	"B065.krn"	"P1"	NA	NA
"5483"	"2.D"	"V"	"(32aaLLL"	"2.125"	"0.125"	"5"	"P1"	"D"	"B065.krn"	"-m2"	NA	NA
"5484"	"2.D"	"V"	"32gg#"	"2.25"	"0.125"	"4+"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5485"	"2.D"	"V"	"32aaJJ"	"2.375"	"0.125"	"5"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5486"	"2.D"	"V"	"32bbLL"	"2.5"	"0.125"	"6"	"+M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5487"	"2.D"	"V"	"32aa"	"2.625"	"0.125"	"5"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5488"	"2.D"	"V"	"32gg#"	"2.75"	"0.125"	"4+"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5489"	"2.D"	"V"	"32aaJJJ)"	"2.875"	"0.125"	"5"	"+m2"	"D"	"B065.krn"	"P1"	NA	NA
"5492"	"2.D"	"V"	"8aa"	"3"	"0.5"	"5"	"P1"	"D"	"B065.krn"	"[gg]"	NA	NA
"5506"	"2.D"	"V7"	"16.ggLL"	"2.5"	"0.375"	"4"	"[gg]"	"D"	"B065.krn"	"-m2"	NA	NA
"5508"	"2.D"	"V7"	"32ff#JJk"	"2.875"	"0.125"	"3"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5509"	"2.D"	"V7"	"16.eeLL"	"3"	"0.375"	"2"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5511"	"2.D"	"V7"	"32ddJJk"	"3.375"	"0.125"	"1"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5512"	"2.D"	"V7"	"16cc#"	"3.5"	"0.25"	"7"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5514"	"2.D"	"I"	"16dd"	"1"	"0.25"	"1"	"+m2"	"D"	"B065.krn"	"-P8"	NA	NA
"5516"	"2.D"	"I"	"4d"	"1.5"	"1"	"1"	"-P8"	"D"	"B065.krn"	"-P4"	NA	NA
"5520"	"2.D"	"I"	"16.ALL"	"2.5"	"0.375"	"5"	"-P4"	"D"	"B065.krn"	"-M2"	NA	NA
"5522"	"2.D"	"I"	"32GJJk"	"2.875"	"0.125"	"4"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5523"	"2.D"	"I"	"16.F#LL"	"3"	"0.375"	"3"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5525"	"2.D"	"I"	"32EJJk"	"3.375"	"0.125"	"2"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5526"	"2.D"	"I"	"16D"	"3.5"	"0.25"	"1"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5528"	"2.D"	"V7"	"16C#"	"1"	"0.25"	"7"	"-m2"	"D"	"B065.krn"	"+m21"	NA	NA
"5530"	"2.D"	"V7"	"4bb"	"1.5"	"1"	"6"	"+m21"	"D"	"B065.krn"	"-M3"	NA	NA
"5534"	"2.D"	"V7"	"16.ggLL"	"2.5"	"0.375"	"4"	"-M3"	"D"	"B065.krn"	"-m2"	NA	NA
"5536"	"2.D"	"V7"	"32ff#JJk"	"2.875"	"0.125"	"3"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5537"	"2.D"	"V7"	"16.eeLL"	"3"	"0.375"	"2"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5539"	"2.D"	"V7"	"32ddJJk"	"3.375"	"0.125"	"1"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5540"	"2.D"	"V7"	"16cc#"	"3.5"	"0.25"	"7"	"-m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5542"	"2.D"	"I"	"16dd"	"1"	"0.25"	"1"	"+m2"	"D"	"B065.krn"	"-P8"	NA	NA
"5544"	"2.D"	"I"	"4d"	"1.5"	"1"	"1"	"-P8"	"D"	"B065.krn"	"-P4"	NA	NA
"5548"	"2.D"	"I"	"16.ALL"	"2.5"	"0.375"	"5"	"-P4"	"D"	"B065.krn"	"-M2"	NA	NA
"5550"	"2.D"	"I"	"32GJJk"	"2.875"	"0.125"	"4"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5551"	"2.D"	"I"	"16.F#LL"	"3"	"0.375"	"3"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5553"	"2.D"	"I"	"32EJJk"	"3.375"	"0.125"	"2"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5554"	"2.D"	"I"	"16D"	"3.5"	"0.25"	"1"	"-M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5556"	"2D"	"V7/V"	"8BB"	"1"	"0.5"	"6"	"-m3"	"D"	"B065.krn"	"+P22"	NA	NA
"5558"	"2D"	"V7/V"	"4bb"	"1.5"	"1"	"6"	"+P22"	"D"	"B065.krn"	"+P4"	NA	NA
"5562"	"2D"	"V7/V"	"16.eeeLL"	"2.5"	"0.375"	"2"	"+P4"	"D"	"B065.krn"	"-M2"	NA	NA
"5564"	"2D"	"V7/V"	"32dddJJk"	"2.875"	"0.125"	"1"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5565"	"4D"	"ii/IV"	"16.cccLL"	"3"	"0.375"	"7-"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5567"	"4D"	"ii/IV"	"32bbJJk"	"3.375"	"0.125"	"6"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5568"	"4D"	"ii/IV"	"16aa"	"3.5"	"0.25"	"5"	"-M2"	"D"	"B065.krn"	"+P4"	NA	NA
"5572"	"2D"	"V7/IV"	"8ddd"	"1.5"	"0.5"	"1"	"+P4"	"D"	"B065.krn"	"-m3"	NA	NA
"5575"	"2D"	"V7/IV"	"16.bbLL"	"2.5"	"0.375"	"6"	"-m3"	"D"	"B065.krn"	"-M2"	NA	NA
"5576"	"2D"	"V7/IV"	"32aaJJk"	"2.875"	"0.125"	"5"	"-M2"	"D"	"B065.krn"	"-M2"	NA	NA
"5577"	"4P"	"IV"	"8gg'"	"3"	"0.5"	"4"	"-M2"	"D"	"B065.krn"	"-P8"	NA	NA
"5581"	"2P"	"ii"	"8g"	"1.5"	"0.5"	"4"	"-P8"	"D"	"B065.krn"	"-m3"	NA	NA
"5584"	"2P"	"ii"	"16.eLL"	"2.5"	"0.375"	"2"	"-m3"	"D"	"B065.krn"	"-M2"	NA	NA
"5585"	"2P"	"ii"	"32dJJk"	"2.875"	"0.125"	"1"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5586"	"4D"	"V7"	"8c#'"	"3"	"0.5"	"7"	"-m2"	"D"	"B065.krn"	"P1"	NA	NA
"5588"	"4D"	"V7"	"[32c#"	"3.875"	"0.125"	"7"	"P1"	"D"	"B065.krn"	"+m3"	NA	NA
"5589"	"2T"	"I"	"2e"	"1"	"2"	"2"	"+m3"	"D"	"B065.krn"	"-M2"	NA	NA
"5596"	"8T"	"I"	"8d"	"3"	"0.5"	"1"	"-M2"	"D"	"B065.krn"	"[gg]"	NA	NA
"5603"	"2.D"	"V7"	"[8gg"	"1.5"	"0.5"	"4"	"[gg]"	"D"	"B065.krn"	"P1"	NA	NA
"5605"	"2.D"	"V7"	"16gg]"	"1.5"	"0.25"	"4"	"P1"	"D"	"B065.krn"	"+M2"	NA	NA
"5606"	"2.D"	"V7"	"(64aaLLLL"	"2.25"	"0.0625"	"5"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5607"	"2.D"	"V7"	"64ff#"	"2.3125"	"0.0625"	"3"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5608"	"2.D"	"V7"	"64gg"	"2.375"	"0.0625"	"4"	"+m2"	"D"	"B065.krn"	"+M3"	NA	NA
"5609"	"2.D"	"V7"	"64bbJJJJ)"	"2.4375"	"0.0625"	"6"	"+M3"	"D"	"B065.krn"	"-P5"	NA	NA
"5610"	"2.D"	"V7"	"16ee"	"2.5"	"0.25"	"2"	"-P5"	"D"	"B065.krn"	"+M2"	NA	NA
"5611"	"2.D"	"V7"	"(64ff#LLLL"	"2.75"	"0.0625"	"3"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5612"	"2.D"	"V7"	"64dd#"	"2.8125"	"0.0625"	"1+"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5613"	"2.D"	"V7"	"64ee"	"2.875"	"0.0625"	"2"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5614"	"2.D"	"V7"	"64ff#JJJJ)"	"2.9375"	"0.0625"	"3"	"+M2"	"D"	"B065.krn"	"-P4"	NA	NA
"5615"	"2.D"	"V7"	"16cc#"	"3"	"0.25"	"7"	"-P4"	"D"	"B065.krn"	"+m2"	NA	NA
"5616"	"2.D"	"V7"	"(64ddLLLL"	"3.25"	"0.0625"	"1"	"+m2"	"D"	"B065.krn"	"-m3"	NA	NA
"5617"	"2.D"	"V7"	"64b"	"3.3125"	"0.0625"	"6"	"-m3"	"D"	"B065.krn"	"+M2"	NA	NA
"5618"	"2.D"	"V7"	"64cc#"	"3.375"	"0.0625"	"7"	"+M2"	"D"	"B065.krn"	"+m3"	NA	NA
"5619"	"2.D"	"V7"	"64eeJJJJ)"	"3.4375"	"0.0625"	"2"	"+m3"	"D"	"B065.krn"	"-P5"	NA	NA
"5620"	"2.D"	"V7"	"16.aLL"	"3.5"	"0.375"	"5"	"-P5"	"D"	"B065.krn"	"P1"	NA	NA
"5622"	"2.D"	"V7"	"32aJJk"	"3.875"	"0.125"	"5"	"P1"	"D"	"B065.krn"	"+P4"	NA	NA
"5623"	"2.D"	"I"	"16dd"	"1"	"0.25"	"1"	"+P4"	"D"	"B065.krn"	"-P8"	NA	NA
"5625"	"2.D"	"I"	"[8d"	"1.5"	"0.5"	"1"	"-P8"	"D"	"B065.krn"	"P1"	NA	NA
"5627"	"2.D"	"I"	"16d]"	"1.5"	"0.25"	"1"	"P1"	"D"	"B065.krn"	"+M2"	NA	NA
"5628"	"2.D"	"I"	"(64eLLL"	"2.25"	"0.0625"	"2"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5629"	"2.D"	"I"	"64c#"	"2.3125"	"0.0625"	"7"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5630"	"2.D"	"I"	"64d"	"2.375"	"0.0625"	"1"	"+m2"	"D"	"B065.krn"	"+M3"	NA	NA
"5631"	"2.D"	"I"	"64f#JJJJ)"	"2.4375"	"0.0625"	"3"	"+M3"	"D"	"B065.krn"	"-M6"	NA	NA
"5632"	"2.D"	"I"	"16A"	"2.5"	"0.25"	"5"	"-M6"	"D"	"B065.krn"	"+M2"	NA	NA
"5633"	"2.D"	"I"	"(64BLLLL"	"2.75"	"0.0625"	"6"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5634"	"2.D"	"I"	"64G#"	"2.8125"	"0.0625"	"4+"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5635"	"2.D"	"I"	"64A"	"2.875"	"0.0625"	"5"	"+m2"	"D"	"B065.krn"	"+P4"	NA	NA
"5636"	"2.D"	"I"	"64dJJJJ)"	"2.9375"	"0.0625"	"1"	"+P4"	"D"	"B065.krn"	"-m6"	NA	NA
"5637"	"2.D"	"I"	"16F#"	"3"	"0.25"	"3"	"-m6"	"D"	"B065.krn"	"+m2"	NA	NA
"5638"	"2.D"	"I"	"(64GLLLL"	"3.25"	"0.0625"	"4"	"+m2"	"D"	"B065.krn"	"-m3"	NA	NA
"5639"	"2.D"	"I"	"64E"	"3.3125"	"0.0625"	"2"	"-m3"	"D"	"B065.krn"	"+M2"	NA	NA
"5640"	"2.D"	"I"	"64F#"	"3.375"	"0.0625"	"3"	"+M2"	"D"	"B065.krn"	"+m3"	NA	NA
"5641"	"2.D"	"I"	"64AJJJJ)"	"3.4375"	"0.0625"	"5"	"+m3"	"D"	"B065.krn"	"-P5"	NA	NA
"5642"	"2.D"	"I"	"16.DLL"	"3.5"	"0.375"	"1"	"-P5"	"D"	"B065.krn"	"P1"	NA	NA
"5644"	"2.D"	"I"	"32DJJk"	"3.875"	"0.125"	"1"	"P1"	"D"	"B065.krn"	"-m2"	NA	NA
"5645"	"2.D"	"V7"	"8C#"	"1"	"0.5"	"7"	"-m2"	"D"	"B065.krn"	"+m21"	NA	NA
"5647"	"2.D"	"V7"	"[8bb"	"1.5"	"0.5"	"6"	"+m21"	"D"	"B065.krn"	"P1"	NA	NA
"5649"	"2.D"	"V7"	"16bb]"	"1.5"	"0.25"	"6"	"P1"	"D"	"B065.krn"	"-M2"	NA	NA
"5650"	"2.D"	"V7"	"(64aaLLL"	"2.25"	"0.0625"	"5"	"-M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5651"	"2.D"	"V7"	"64ff#"	"2.3125"	"0.0625"	"3"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5652"	"2.D"	"V7"	"64gg"	"2.375"	"0.0625"	"4"	"+m2"	"D"	"B065.krn"	"+M3"	NA	NA
"5653"	"2.D"	"V7"	"64bbJJJJ)"	"2.4375"	"0.0625"	"6"	"+M3"	"D"	"B065.krn"	"-P5"	NA	NA
"5654"	"2.D"	"V7"	"16ee"	"2.5"	"0.25"	"2"	"-P5"	"D"	"B065.krn"	"+M2"	NA	NA
"5655"	"2.D"	"V7"	"(64ff#LLLL"	"2.75"	"0.0625"	"3"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5656"	"2.D"	"V7"	"64dd#"	"2.8125"	"0.0625"	"1+"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5657"	"2.D"	"V7"	"64ee"	"2.875"	"0.0625"	"2"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5658"	"2.D"	"V7"	"64ff#JJJJ)"	"2.9375"	"0.0625"	"3"	"+M2"	"D"	"B065.krn"	"-P4"	NA	NA
"5659"	"2.D"	"V7"	"16cc#"	"3"	"0.25"	"7"	"-P4"	"D"	"B065.krn"	"+m2"	NA	NA
"5660"	"2.D"	"V7"	"(64ddLLLL"	"3.25"	"0.0625"	"1"	"+m2"	"D"	"B065.krn"	"-m3"	NA	NA
"5661"	"2.D"	"V7"	"64b"	"3.3125"	"0.0625"	"6"	"-m3"	"D"	"B065.krn"	"+M2"	NA	NA
"5662"	"2.D"	"V7"	"64cc#"	"3.375"	"0.0625"	"7"	"+M2"	"D"	"B065.krn"	"+m3"	NA	NA
"5663"	"2.D"	"V7"	"64eeJJJJ)"	"3.4375"	"0.0625"	"2"	"+m3"	"D"	"B065.krn"	"-P5"	NA	NA
"5664"	"2.D"	"V7"	"16.aLL"	"3.5"	"0.375"	"5"	"-P5"	"D"	"B065.krn"	"P1"	NA	NA
"5666"	"2.D"	"V7"	"32aJJk"	"3.875"	"0.125"	"5"	"P1"	"D"	"B065.krn"	"+P4"	NA	NA
"5667"	"2.D"	"I"	"16dd"	"1"	"0.25"	"1"	"+P4"	"D"	"B065.krn"	"-P8"	NA	NA
"5669"	"2.D"	"I"	"[8d"	"1.5"	"0.5"	"1"	"-P8"	"D"	"B065.krn"	"P1"	NA	NA
"5671"	"2.D"	"I"	"16d]"	"1.5"	"0.25"	"1"	"P1"	"D"	"B065.krn"	"+M2"	NA	NA
"5672"	"2.D"	"I"	"80e"	"2.25"	"0.05"	"2"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5673"	"2.D"	"I"	"80c#"	"2.3"	"0.05"	"7"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5674"	"2.D"	"I"	"80d"	"2.35"	"0.05"	"1"	"+m2"	"D"	"B065.krn"	"+M3"	NA	NA
"5675"	"2.D"	"I"	"80f#"	"2.4"	"0.05"	"3"	"+M3"	"D"	"B065.krn"	"-m7"	NA	NA
"5676"	"2.D"	"I"	"80G#"	"2.45"	"0.05"	"4+"	"-m7"	"D"	"B065.krn"	"+m2"	NA	NA
"5677"	"2.D"	"I"	"16AL"	"2.5"	"0.25"	"5"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5678"	"2.D"	"I"	"80B"	"2.75"	"0.05"	"6"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5679"	"2.D"	"I"	"80G#"	"2.8"	"0.05"	"4+"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5680"	"2.D"	"I"	"80A"	"2.85"	"0.05"	"5"	"+m2"	"D"	"B065.krn"	"+P4"	NA	NA
"5681"	"2.D"	"I"	"80d"	"2.9"	"0.05"	"1"	"+P4"	"D"	"B065.krn"	"-d7"	NA	NA
"5682"	"2.D"	"I"	"80E#"	"2.95"	"0.05"	"2+"	"-d7"	"D"	"B065.krn"	"+m2"	NA	NA
"5683"	"2.D"	"I"	"16F#"	"3"	"0.25"	"3"	"+m2"	"D"	"B065.krn"	"-M10"	NA	NA
"5685"	"2.D"	"I"	"16.DDLL"	"3.5"	"0.375"	"1"	"-M10"	"D"	"B065.krn"	"-m2"	NA	NA
"5687"	"2.D"	"I"	"32CC#JJk"	"3.875"	"0.125"	"7"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5688"	"2D"	"V7/V"	"16BBB"	"1"	"0.25"	"6"	"-M2"	"D"	"B065.krn"	"+P29"	NA	NA
"5690"	"2D"	"V7/V"	"[8bb"	"1.5"	"0.5"	"6"	"+P29"	"D"	"B065.krn"	"P1"	NA	NA
"5692"	"2D"	"V7/V"	"16bb]"	"1.5"	"0.25"	"6"	"P1"	"D"	"B065.krn"	"+M2"	NA	NA
"5693"	"2D"	"V7/V"	"(64ccc#LLL"	"2.25"	"0.0625"	"7"	"+M2"	"D"	"B065.krn"	"-m3"	NA	NA
"5694"	"2D"	"V7/V"	"64aa#"	"2.3125"	"0.0625"	"5+"	"-m3"	"D"	"B065.krn"	"+m2"	NA	NA
"5695"	"2D"	"V7/V"	"64bb"	"2.375"	"0.0625"	"6"	"+m2"	"D"	"B065.krn"	"+d5"	NA	NA
"5696"	"2D"	"V7/V"	"64fffJJJJ)"	"2.4375"	"0.0625"	"3-"	"+d5"	"D"	"B065.krn"	"-m2"	NA	NA
"5697"	"2D"	"V7/V"	"16eee"	"2.5"	"0.25"	"2"	"-m2"	"D"	"B065.krn"	"-P4"	NA	NA
"5699"	"2D"	"V7/V"	"32bb"	"2.875"	"0.125"	"6"	"-P4"	"D"	"B065.krn"	"+m3"	NA	NA
"5700"	"4D"	"ii/IV"	"32dddLLL"	"3"	"0.125"	"1"	"+m3"	"D"	"B065.krn"	"-M2"	NA	NA
"5701"	"4D"	"ii/IV"	"32ccc"	"3.125"	"0.125"	"7-"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
"5702"	"4D"	"ii/IV"	"32bb"	"3.25"	"0.125"	"6"	"-m2"	"D"	"B065.krn"	"-m2"	NA	NA
"5703"	"4D"	"ii/IV"	"32aa#JJ"	"3.375"	"0.125"	"5+"	"-m2"	"D"	"B065.krn"	"-M2"	NA	NA
"5704"	"4D"	"ii/IV"	"32gg#LL"	"3.5"	"0.125"	"4+"	"-M2"	"D"	"B065.krn"	"+M2"	NA	NA
"5705"	"4D"	"ii/IV"	"32aa#"	"3.625"	"0.125"	"5+"	"+M2"	"D"	"B065.krn"	"+m2"	NA	NA
"5706"	"4D"	"ii/IV"	"32bb"	"3.75"	"0.125"	"6"	"+m2"	"D"	"B065.krn"	"+m2"	NA	NA
"5707"	"4D"	"ii/IV"	"32cccJJJ"	"3.875"	"0.125"	"7-"	"+m2"	"D"	"B065.krn"	"+M2"	NA	NA
"5708"	"2D"	"V7/IV"	"8ddd"	"1"	"0.5"	"1"	"+M2"	"D"	"B065.krn"	"-P8"	NA	NA
"5709"	"2D"	"V7/IV"	"(128ddLLLK"	"1.5"	"0.03125"	"1"	"-P8"	"D"	"B065.krn"	"+P8"	NA	NA
"5710"	"2D"	"V7/IV"	"64.dddJJJJ)"	"1.53125"	"0.09375"	"1"	"+P8"	"D"	"B065.krn"	"-M2"	NA	NA
"5714"	"2D"	"V7/IV"	"(64cccLLLL"	"2.375"	"0.0625"	"7-"	"-M2"	"D"	"B065.krn"	"-m2"	NA	NA
